CO_CURSO,TP_GRAU_ACADEMICO,TP_SITUACAO,IN_DEFICIENCIA,IN_RESERVA_VAGAS,TP_SEXO,TP_COR_RACA,NU_ANO_NASCIMENTO,NU_DIA_NASCIMENTO,NU_MES_NASCIMENTO,NU_IDADE,NU_ANO_INGRESSO,NU_ANO_CENSO,CO_MUNICIPIO_NASCIMENTO,Id
96981,3,3,0,0,0,3,1989,18,10,20,2008,2009,null,3434
99503,2,2,0,0,1,3,1985,1,1,24,2008,2009,null,3435
107474,1,2,0,0,1,6,1987,25,11,22,2008,2009,null,3436
112692,2,2,0,0,1,6,1984,25,10,25,2009,2009,null,3437
96981,3,2,0,0,0,6,1991,11,9,18,2008,2009,null,3438
99503,2,2,0,0,0,6,1989,7,10,20,2008,2009,null,2466
107474,1,2,0,0,0,6,1981,20,12,28,2008,2009,null,1806
99503,2,2,0,0,0,6,1990,14,9,19,2008,2009,null,3137
96981,3,2,0,0,1,6,1987,8,5,22,2008,2009,null,2865
107474,1,2,0,0,1,6,1986,5,9,23,2008,2009,null,1360
112692,2,2,0,0,0,6,1987,15,12,22,2009,2009,null,2866
96981,3,2,0,0,1,6,1977,18,9,32,2008,2009,null,3139
107474,1,2,0,0,1,6,1979,19,9,30,2008,2009,null,872
107474,1,2,0,0,0,6,1988,10,11,21,2008,2009,null,863
99503,2,2,0,0,1,6,1984,21,4,25,2008,2009,null,712
107474,1,2,0,0,1,6,1987,1,4,22,2008,2009,null,1002
107474,1,2,0,0,1,6,1988,15,10,21,2008,2009,null,3140
112692,2,2,0,0,1,6,1981,8,2,28,2009,2009,null,816
99503,2,2,0,0,0,6,1987,17,11,22,2008,2009,null,715
112692,2,2,0,0,0,6,1964,27,12,45,2009,2009,null,870
107474,1,2,0,0,1,6,1988,5,11,21,2008,2009,null,1134
112692,2,2,0,0,1,6,1988,28,1,21,2009,2009,null,3142
99503,2,2,0,0,1,6,1973,11,9,36,2008,2009,null,2867
107474,1,2,0,0,1,6,1982,2,12,27,2008,2009,null,3144
107474,1,2,0,0,1,6,1988,5,10,21,2008,2009,null,3439
107474,1,2,0,0,0,6,1988,13,9,21,2008,2009,null,3145
99503,2,2,0,0,1,6,1988,23,8,21,2008,2009,null,2868
96981,3,2,0,0,1,6,1983,24,1,26,2007,2009,null,3146
96981,3,2,0,0,1,6,1989,6,6,20,2008,2009,null,722
96981,3,2,0,0,0,6,1990,10,8,19,2008,2009,null,1139
99503,2,2,0,0,1,6,1989,25,1,20,2008,2009,null,719
96981,3,2,0,0,1,6,1979,19,1,30,2008,2009,null,720
112692,2,2,0,0,1,0,1974,10,7,35,2009,2009,null,2869
96981,3,2,0,0,1,6,1987,9,12,22,2008,2009,null,3147
96981,3,2,0,0,0,6,1984,28,11,25,2008,2009,null,767
112692,2,2,0,0,1,6,1991,12,2,18,2009,2009,null,3148
112692,2,2,0,0,0,6,1991,15,2,18,2009,2009,null,2486
112692,2,2,0,0,1,6,1990,12,2,19,2009,2009,null,3149
99503,2,2,0,0,1,6,1990,11,5,19,2008,2009,null,2489
112692,2,2,0,0,0,6,1987,17,4,22,2009,2009,null,2386
