CO_CURSO,TP_GRAU_ACADEMICO,TP_SITUACAO,IN_DEFICIENCIA,IN_RESERVA_VAGAS,TP_SEXO,TP_COR_RACA,NU_ANO_NASCIMENTO,NU_DIA_NASCIMENTO,NU_MES_NASCIMENTO,NU_IDADE,NU_ANO_INGRESSO,NU_ANO_CENSO,CO_MUNICIPIO_NASCIMENTO
112692,2,2,0,0,0,6,1987,10,12,22,2008,2009,null
112692,2,3,0,0,1,6,1989,11,6,20,2008,2009,null
99503,2,2,0,0,0,6,1984,30,6,25,2007,2009,null
96981,3,2,0,0,1,6,1989,19,4,20,2007,2009,null
107474,1,2,0,0,1,6,1985,1,5,24,2008,2009,null
96981,3,4,0,0,1,6,1989,15,4,20,2007,2009,null
112692,2,2,0,0,0,6,1956,2,11,53,2008,2009,null
107474,1,2,0,0,1,6,1984,18,7,25,2008,2009,null
107474,1,2,0,0,1,6,1991,4,5,18,2008,2009,null
99503,2,2,0,0,0,6,1987,10,2,22,2007,2009,null
112692,2,2,0,0,1,6,1973,29,6,36,2008,2009,null
112692,2,4,0,0,1,6,1982,29,3,27,2008,2009,null
112692,2,2,0,0,1,6,1989,29,4,20,2008,2009,null
112692,2,2,0,0,1,6,1991,19,2,18,2008,2009,null
112692,2,2,0,0,1,6,1980,14,12,29,2008,2009,null
112692,2,2,0,0,1,6,1985,16,6,24,2008,2009,null
112692,2,2,0,0,0,6,1984,12,10,25,2008,2009,null
112692,2,2,0,0,0,6,1987,8,5,22,2008,2009,null
112692,2,2,0,0,1,6,1983,28,5,26,2008,2009,null
112692,2,2,0,0,1,6,1989,22,7,20,2008,2009,null
96981,3,2,0,0,0,6,1985,29,9,24,2006,2009,null
112692,2,2,0,0,1,6,1985,16,6,24,2008,2009,null
99503,2,2,0,0,1,6,1982,19,8,27,2007,2009,null
99503,2,2,0,0,1,6,1987,19,11,22,2007,2009,null
99503,2,2,0,0,0,6,1965,5,6,44,2007,2009,null
99503,2,2,0,0,0,6,1988,2,10,21,2007,2009,null
99503,2,2,0,0,0,6,1978,7,1,31,2007,2009,null
107474,1,2,0,0,0,6,1988,16,3,21,2008,2009,null
112692,2,2,0,0,0,6,1988,5,12,21,2009,2009,null
107474,1,2,0,0,1,6,1984,11,12,25,2008,2009,null
107474,1,2,0,0,1,6,1981,17,12,28,2008,2009,null
96981,3,2,0,0,0,6,1988,21,4,21,2008,2009,null
107474,1,4,0,0,0,6,1956,11,10,53,2008,2009,null
112692,2,2,0,0,0,6,1988,26,2,21,2009,2009,null
96981,3,2,0,0,0,6,1987,16,3,22,2008,2009,null
96981,3,2,0,0,1,6,1989,17,11,20,2008,2009,null
99503,2,2,0,0,0,6,1987,25,1,22,2008,2009,null
96981,3,2,0,0,0,6,1989,26,7,20,2008,2009,null
107474,1,2,0,0,1,6,1983,22,7,26,2008,2009,null
99503,2,2,0,0,1,6,1990,14,6,19,2008,2009,null
107474,1,3,0,0,1,6,1987,28,11,22,2008,2009,null
112692,2,2,0,0,1,6,1987,29,7,22,2009,2009,null
112692,2,2,0,0,1,6,1982,3,12,27,2009,2009,null
107474,1,2,0,0,1,6,1988,24,11,21,2008,2009,null
107474,1,2,0,0,1,6,1989,3,10,20,2008,2009,null
107474,1,2,0,0,0,6,1989,16,10,20,2008,2009,null
112692,2,2,0,0,1,0,1978,21,6,31,2009,2009,null
112692,2,2,0,0,0,6,1976,6,9,33,2009,2009,null
96981,3,2,0,0,0,6,1973,3,7,36,2008,2009,null
99503,2,2,0,0,1,6,1986,9,10,23,2008,2009,null
107474,1,4,0,0,0,6,1988,5,10,21,2008,2009,null
96981,3,2,0,0,0,6,1989,29,4,20,2007,2009,null
96981,3,2,0,0,0,6,1989,17,12,20,2008,2009,null
107474,1,2,0,0,0,6,1979,9,12,30,2008,2009,null
96981,3,2,0,0,0,6,1989,2,2,20,2007,2009,null
99503,2,2,0,0,0,6,1989,21,11,20,2008,2009,null
96981,3,2,0,0,0,6,1990,6,3,19,2008,2009,null
107474,1,2,0,0,1,6,1989,11,11,20,2008,2009,null
96981,3,3,0,0,0,3,1989,18,10,20,2008,2009,null
99503,2,2,0,0,1,3,1985,1,1,24,2008,2009,null
107474,1,2,0,0,1,6,1987,25,11,22,2008,2009,null
112692,2,2,0,0,1,6,1984,25,10,25,2009,2009,null
96981,3,2,0,0,0,6,1991,11,9,18,2008,2009,null
99503,2,2,0,0,0,6,1989,7,10,20,2008,2009,null
107474,1,2,0,0,0,6,1981,20,12,28,2008,2009,null
99503,2,2,0,0,0,6,1990,14,9,19,2008,2009,null
96981,3,2,0,0,1,6,1987,8,5,22,2008,2009,null
107474,1,2,0,0,1,6,1986,5,9,23,2008,2009,null
112692,2,2,0,0,0,6,1987,15,12,22,2009,2009,null
96981,3,2,0,0,1,6,1977,18,9,32,2008,2009,null
107474,1,2,0,0,1,6,1979,19,9,30,2008,2009,null
107474,1,2,0,0,0,6,1988,10,11,21,2008,2009,null
99503,2,2,0,0,1,6,1984,21,4,25,2008,2009,null
107474,1,2,0,0,1,6,1987,1,4,22,2008,2009,null
107474,1,2,0,0,1,6,1988,15,10,21,2008,2009,null
112692,2,2,0,0,1,6,1981,8,2,28,2009,2009,null
99503,2,2,0,0,0,6,1987,17,11,22,2008,2009,null
112692,2,2,0,0,0,6,1964,27,12,45,2009,2009,null
107474,1,2,0,0,1,6,1988,5,11,21,2008,2009,null
112692,2,2,0,0,1,6,1988,28,1,21,2009,2009,null
99503,2,2,0,0,1,6,1973,11,9,36,2008,2009,null
107474,1,2,0,0,1,6,1982,2,12,27,2008,2009,null
107474,1,2,0,0,1,6,1988,5,10,21,2008,2009,null
107474,1,2,0,0,0,6,1988,13,9,21,2008,2009,null
99503,2,2,0,0,1,6,1988,23,8,21,2008,2009,null
96981,3,2,0,0,1,6,1983,24,1,26,2007,2009,null
96981,3,2,0,0,1,6,1989,6,6,20,2008,2009,null
96981,3,2,0,0,0,6,1990,10,8,19,2008,2009,null
99503,2,2,0,0,1,6,1989,25,1,20,2008,2009,null
